,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2000-10-18,26.88,27.7,28.45,26.5,271930.0,748996000.0,16.28,131.22,15.72,67.98
1,2000-10-19,27.61,27.21,28.19,27.01,77476.0,214900000.0,4.26,-1.77,-0.49,19.37
2,2000-10-20,26.98,27.75,27.88,26.3,51195.0,138248000.0,5.81,1.98,0.54,12.8
3,2000-10-23,27.88,27.9,28.09,27.4,21437.0,59486000.0,2.49,0.54,0.15,5.36
4,2000-10-24,27.98,28.28,28.56,27.61,26559.0,74935000.0,3.41,1.36,0.38,6.64
5,2000-10-25,28.01,27.9,28.95,27.9,35964.0,102213000.0,3.71,-1.34,-0.38,8.99
6,2000-10-26,27.98,27.73,28.1,27.61,14866.0,41407000.0,1.76,-0.61,-0.17,3.72
7,2000-10-27,27.8,28.45,28.79,27.75,20411.0,57890000.0,3.75,2.6,0.72,5.1
8,2000-10-30,28.46,28.08,28.49,27.78,11399.0,31942000.0,2.5,-1.3,-0.37,2.85
9,2000-10-31,28.03,27.69,28.18,27.61,13105.0,36514000.0,2.03,-1.39,-0.39,3.28
10,2000-11-01,27.65,28.0,28.09,27.5,15492.0,43018000.0,2.13,1.12,0.31,3.87
11,2000-11-02,28.08,28.37,28.45,27.8,13385.0,37739000.0,2.32,1.32,0.37,3.35
12,2000-11-03,28.05,28.12,28.45,27.95,7576.0,21330000.0,1.76,-0.88,-0.25,1.89
13,2000-11-06,28.15,28.66,28.85,27.9,11712.0,33437000.0,3.38,1.92,0.54,2.93
14,2000-11-07,28.88,29.1,29.38,28.6,15635.0,45456000.0,2.72,1.54,0.44,3.91
15,2000-11-08,29.2,29.48,29.54,29.02,17297.0,50711000.0,1.79,1.31,0.38,4.32
16,2000-11-09,29.38,29.2,29.6,29.02,13277.0,38995000.0,1.97,-0.95,-0.28,3.32
17,2000-11-10,29.3,29.46,29.47,29.1,12985.0,37987000.0,1.27,0.89,0.26,3.25
18,2000-11-13,29.5,29.22,29.64,29.22,12930.0,37918000.0,1.43,-0.81,-0.24,3.23
19,2000-11-14,29.01,30.05,30.09,28.86,15404.0,45434000.0,4.21,2.84,0.83,3.85
20,2000-11-15,30.05,30.13,31.2,29.85,20980.0,63989000.0,4.49,0.27,0.08,5.25
21,2000-11-16,30.51,30.09,30.52,30.0,10315.0,31156000.0,1.73,-0.13,-0.04,2.58
22,2000-11-17,30.2,29.9,30.31,29.82,8021.0,24040000.0,1.63,-0.63,-0.19,2.01
23,2000-11-20,29.8,29.95,30.1,29.53,4493.0,13392000.0,1.91,0.17,0.05,1.12
24,2000-11-21,29.98,29.73,30.05,29.51,5095.0,15175000.0,1.8,-0.73,-0.22,1.27
25,2000-11-22,29.73,29.99,30.27,29.55,9247.0,27686000.0,2.42,0.87,0.26,2.31
26,2000-11-23,29.99,30.0,30.4,29.8,4361.0,13135000.0,2.0,0.03,0.01,1.09
27,2000-11-24,30.01,29.59,30.39,28.9,12888.0,37988000.0,4.97,-1.37,-0.41,3.22
28,2000-11-27,29.42,29.13,29.55,28.95,7579.0,22238000.0,2.03,-1.55,-0.46,1.89
29,2000-11-28,29.13,29.23,29.46,29.0,3169.0,9263000.0,1.58,0.34,0.1,0.79
30,2000-11-29,29.4,28.65,29.6,28.6,5365.0,15515000.0,3.42,-1.98,-0.58,1.34
31,2000-11-30,28.88,28.98,29.0,28.5,2603.0,7479000.0,1.75,1.15,0.33,0.65
32,2000-12-01,28.9,29.0,29.26,28.64,1369.0,3956000.0,2.14,0.07,0.02,0.34
33,2000-12-04,29.28,29.15,29.28,28.8,1606.0,4655000.0,1.66,0.52,0.15,0.4
34,2000-12-05,29.1,29.08,29.34,29.0,1822.0,5302000.0,1.17,-0.24,-0.07,0.46
35,2000-12-06,29.08,28.94,29.22,28.85,2451.0,7112000.0,1.27,-0.48,-0.14,0.61
36,2000-12-07,28.94,28.9,29.1,28.8,2253.0,6524000.0,1.04,-0.14,-0.04,0.56
37,2000-12-08,28.9,28.95,29.27,28.87,2540.0,7376000.0,1.38,0.17,0.05,0.64
38,2000-12-11,28.9,28.22,28.9,28.21,5569.0,15902000.0,2.38,-2.52,-0.73,1.39
39,2000-12-12,28.21,28.6,28.8,28.2,1719.0,4892000.0,2.13,1.35,0.38,0.43
40,2000-12-13,28.75,28.58,28.75,28.38,1228.0,3519000.0,1.29,-0.07,-0.02,0.31
41,2000-12-14,28.5,28.7,28.94,28.5,2057.0,5911000.0,1.54,0.42,0.12,0.51
42,2000-12-15,28.7,28.75,28.8,28.59,1097.0,3146000.0,0.73,0.17,0.05,0.27
43,2000-12-18,28.75,28.97,29.2,28.6,5020.0,14530000.0,2.09,0.77,0.22,1.26
44,2000-12-19,29.18,28.94,29.18,28.71,1928.0,5587000.0,1.62,-0.1,-0.03,0.48
45,2000-12-20,28.83,29.3,29.4,28.83,3682.0,10748000.0,1.97,1.24,0.36,0.92
46,2000-12-21,29.3,29.49,29.76,29.3,2577.0,7602000.0,1.57,0.65,0.19,0.64
47,2000-12-22,29.39,29.28,29.55,28.89,5564.0,16210000.0,2.24,-0.71,-0.21,1.39
48,2000-12-25,29.28,28.95,29.3,28.9,5857.0,16996000.0,1.37,-1.13,-0.33,1.46
49,2000-12-26,28.94,29.48,29.7,28.81,3995.0,11695000.0,3.07,1.83,0.53,1.0
50,2000-12-27,29.5,29.36,29.6,29.11,3420.0,10041267.0,1.66,-0.41,-0.12,0.86
51,2000-12-28,28.1,29.85,29.85,28.1,6798.0,19400000.0,5.96,1.67,0.49,1.7
52,2000-12-29,29.78,30.15,30.25,29.45,7461.0,22371000.0,2.68,1.01,0.3,1.87
53,2001-01-02,30.17,30.99,31.2,30.0,10014.0,30824000.0,3.98,2.79,0.84,2.5
54,2001-01-03,31.18,30.85,31.41,30.6,7587.0,23498000.0,2.61,-0.45,-0.14,1.9
55,2001-01-04,30.95,30.89,31.24,30.62,4256.0,13188000.0,2.01,0.13,0.04,1.06
56,2001-01-05,30.89,31.48,31.48,30.88,4402.0,13743000.0,1.94,1.91,0.59,1.1
57,2001-01-08,31.48,30.59,31.68,30.55,5539.0,17103000.0,3.59,-2.83,-0.89,1.38
58,2001-01-09,30.6,30.1,30.92,29.64,13779.0,41517000.0,4.18,-1.6,-0.49,3.44
59,2001-01-10,30.0,30.5,31.2,29.81,5539.0,17005000.0,4.62,1.33,0.4,1.38
60,2001-01-11,30.4,29.9,31.0,29.8,5723.0,17190000.0,3.93,-1.97,-0.6,1.43
61,2001-01-12,29.8,30.3,30.65,29.5,8421.0,25385000.0,3.85,1.34,0.4,2.11
62,2001-01-15,30.2,29.4,30.2,29.31,2680.0,7952000.0,2.94,-2.97,-0.9,0.67
63,2001-01-16,29.01,29.18,29.5,28.91,2184.0,6365000.0,2.01,-0.75,-0.22,0.55
64,2001-01-17,29.18,28.67,29.3,28.51,3413.0,9854000.0,2.71,-1.75,-0.51,0.85
65,2001-01-18,28.66,29.1,29.6,28.6,3935.0,11435000.0,3.49,1.5,0.43,0.98
66,2001-01-19,29.48,29.7,29.79,29.11,3474.0,10266000.0,2.34,2.06,0.6,0.87
67,2001-02-05,29.8,28.53,29.99,28.5,3113.0,9048000.0,5.02,-3.94,-1.17,0.78
68,2001-02-06,28.38,28.5,28.69,28.0,3593.0,10197000.0,2.42,-0.11,-0.03,0.9
69,2001-02-07,28.34,28.45,28.6,28.34,958.0,2731000.0,0.91,-0.18,-0.05,0.24
70,2001-02-08,28.58,27.4,28.61,27.07,3168.0,8771000.0,5.41,-3.69,-1.05,0.79
