,Unnamed: 0,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,前收盘价,调整后涨跌幅,日期,后复权收盘,前复权收盘
0,0,26.88,27.7,28.45,26.5,271930.0,748996000.0,16.28,131.22,15.72,67.98,,131.22,2000-10-18,27.7,0.4282315761884639
1,1,27.61,27.21,28.19,27.01,77476.0,214900000.0,4.26,-1.77,-0.49,19.37,27.7,-1.7689530685920496,2000-10-19,27.21,0.42065636058079797
2,2,26.98,27.75,27.88,26.3,51195.0,138248000.0,5.81,1.98,0.54,12.8,27.21,1.9845644983461863,2000-10-20,27.749999999999996,0.4290045573729196
3,3,27.88,27.9,28.09,27.4,21437.0,59486000.0,2.49,0.54,0.15,5.36,27.75,0.540540540540535,2000-10-23,27.899999999999995,0.4313235009262867
4,4,27.98,28.28,28.56,27.61,26559.0,74935000.0,3.41,1.36,0.38,6.64,27.9,1.3620071684588009,2000-10-24,28.28,0.4371981579281502
5,5,28.01,27.9,28.95,27.9,35964.0,102213000.0,3.71,-1.34,-0.38,8.99,28.28,-1.3437057991513512,2000-10-25,27.9,0.43132350092628674
6,6,27.98,27.73,28.1,27.61,14866.0,41407000.0,1.76,-0.61,-0.17,3.72,27.9,-0.6093189964157641,2000-10-26,27.73,0.42869536489913734
7,7,27.8,28.45,28.79,27.75,20411.0,57890000.0,3.75,2.6,0.72,5.1,27.73,2.596465921384783,2000-10-27,28.45,0.4398262939552996
8,8,28.46,28.08,28.49,27.78,11399.0,31942000.0,2.5,-1.3,-0.37,2.85,28.45,-1.300527240773286,2000-10-30,28.08,0.4341062331903273
9,9,28.03,27.69,28.18,27.61,13105.0,36514000.0,2.03,-1.39,-0.39,3.28,28.08,-1.3888888888888729,2000-10-31,27.69,0.42807697995157284
10,10,27.65,28.0,28.09,27.5,15492.0,43018000.0,2.13,1.12,0.31,3.87,27.69,1.119537739256038,2000-11-01,27.999999999999996,0.4328694632951982
11,11,28.08,28.37,28.45,27.8,13385.0,37739000.0,2.32,1.32,0.37,3.35,28.0,1.3214285714285845,2000-11-02,28.37,0.43858952406017054
12,12,28.05,28.12,28.45,27.95,7576.0,21330000.0,1.76,-0.88,-0.25,1.89,28.37,-0.8812125484666922,2000-11-03,28.12,0.434724618137892
13,13,28.15,28.66,28.85,27.9,11712.0,33437000.0,3.38,1.92,0.54,2.93,28.12,1.9203413940255931,2000-11-06,28.659999999999997,0.4430728149300136
14,14,28.88,29.1,29.38,28.6,15635.0,45456000.0,2.72,1.54,0.44,3.91,28.66,1.535240753663647,2000-11-07,29.099999999999998,0.44987504935322387
15,15,29.2,29.48,29.54,29.02,17297.0,50711000.0,1.79,1.31,0.38,4.32,29.1,1.3058419243986208,2000-11-08,29.479999999999997,0.45574970635508727
16,16,29.38,29.2,29.6,29.02,13277.0,38995000.0,1.97,-0.95,-0.28,3.32,29.48,-0.9497964721845387,2000-11-09,29.199999999999996,0.4514210117221353
17,17,29.3,29.46,29.47,29.1,12985.0,37987000.0,1.27,0.89,0.26,3.25,29.2,0.8904109589041198,2000-11-10,29.459999999999997,0.455440513881305
18,18,29.5,29.22,29.64,29.22,12930.0,37918000.0,1.43,-0.81,-0.24,3.23,29.46,-0.8146639511201648,2000-11-13,29.219999999999995,0.4517302041959176
19,19,29.01,30.05,30.09,28.86,15404.0,45434000.0,4.21,2.84,0.83,3.85,29.22,2.8405201916495537,2000-11-14,30.049999999999994,0.4645616918578824
20,20,30.05,30.13,31.2,29.85,20980.0,63989000.0,4.49,0.27,0.08,5.25,30.05,0.2662229617304446,2000-11-15,30.129999999999992,0.4657984617530115
21,21,30.51,30.09,30.52,30.0,10315.0,31156000.0,1.73,-0.13,-0.04,2.58,30.13,-0.1327580484566826,2000-11-16,30.089999999999993,0.46518007680544693
