,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2000-10-18,-0.49,-0.47,-0.46,-0.5,271930.0,748996000.0,-4.94,41.98,0.34,67.98
1,2000-10-19,-0.48,-0.48,-0.46,-0.49,77476.0,214900000.0,-6.38,-2.13,-0.01,19.37
2,2000-10-20,-0.49,-0.47,-0.47,-0.5,51195.0,138248000.0,-6.25,2.08,0.01,12.8
3,2000-10-23,-0.47,-0.47,-0.47,-0.48,21437.0,59486000.0,-2.13,0.0,0.0,5.36
4,2000-10-24,-0.47,-0.46,-0.46,-0.48,26559.0,74935000.0,-4.26,2.13,0.01,6.64
5,2000-10-25,-0.47,-0.47,-0.45,-0.47,35964.0,102213000.0,-4.35,-2.17,-0.01,8.99
6,2000-10-26,-0.47,-0.47,-0.47,-0.48,14866.0,41407000.0,-2.13,0.0,0.0,3.72
7,2000-10-27,-0.47,-0.46,-0.45,-0.47,20411.0,57890000.0,-4.26,2.13,0.01,5.1
8,2000-10-30,-0.46,-0.47,-0.46,-0.47,11399.0,31942000.0,-2.17,-2.17,-0.01,2.85
9,2000-10-31,-0.47,-0.47,-0.46,-0.48,13105.0,36514000.0,-4.26,0.0,0.0,3.28
10,2000-11-01,-0.47,-0.47,-0.47,-0.48,15492.0,43018000.0,-2.13,0.0,0.0,3.87
11,2000-11-02,-0.47,-0.46,-0.46,-0.47,13385.0,37739000.0,-2.13,2.13,0.01,3.35
12,2000-11-03,-0.47,-0.46,-0.46,-0.47,7576.0,21330000.0,-2.17,0.0,0.0,1.89
13,2000-11-06,-0.46,-0.45,-0.45,-0.47,11712.0,33437000.0,-4.35,2.17,0.01,2.93
14,2000-11-07,-0.45,-0.44,-0.44,-0.45,15635.0,45456000.0,-2.22,2.22,0.01,3.91
15,2000-11-08,-0.44,-0.44,-0.43,-0.45,17297.0,50711000.0,-4.55,0.0,0.0,4.32
16,2000-11-09,-0.44,-0.44,-0.43,-0.45,13277.0,38995000.0,-4.55,0.0,0.0,3.32
17,2000-11-10,-0.44,-0.44,-0.44,-0.44,12985.0,37987000.0,0.0,0.0,0.0,3.25
18,2000-11-13,-0.44,-0.44,-0.43,-0.44,12930.0,37918000.0,-2.27,0.0,0.0,3.23
19,2000-11-14,-0.45,-0.42,-0.42,-0.45,15404.0,45434000.0,-6.82,4.55,0.02,3.85
20,2000-11-15,-0.42,-0.42,-0.4,-0.43,20980.0,63989000.0,-7.14,0.0,0.0,5.25
21,2000-11-16,-0.41,-0.42,-0.41,-0.42,10315.0,31156000.0,-2.38,0.0,0.0,2.58
22,2000-11-17,-0.42,-0.43,-0.42,-0.43,8021.0,24040000.0,-2.38,-2.38,-0.01,2.01
23,2000-11-20,-0.43,-0.43,-0.42,-0.43,4493.0,13392000.0,-2.33,0.0,0.0,1.12
24,2000-11-21,-0.43,-0.43,-0.42,-0.44,5095.0,15175000.0,-4.65,0.0,0.0,1.27
25,2000-11-22,-0.43,-0.43,-0.42,-0.43,9247.0,27686000.0,-2.33,0.0,0.0,2.31
26,2000-11-23,-0.43,-0.42,-0.42,-0.43,4361.0,13135000.0,-2.33,2.33,0.01,1.09
27,2000-11-24,-0.42,-0.43,-0.42,-0.45,12888.0,37988000.0,-7.14,-2.38,-0.01,3.22
28,2000-11-27,-0.44,-0.44,-0.43,-0.45,7579.0,22238000.0,-4.65,-2.33,-0.01,1.89
29,2000-11-28,-0.44,-0.44,-0.44,-0.45,3169.0,9263000.0,-2.27,0.0,0.0,0.79
30,2000-11-29,-0.44,-0.45,-0.43,-0.45,5365.0,15515000.0,-4.55,-2.27,-0.01,1.34
31,2000-11-30,-0.45,-0.45,-0.45,-0.46,2603.0,7479000.0,-2.22,0.0,0.0,0.65
32,2000-12-01,-0.45,-0.45,-0.44,-0.45,1369.0,3956000.0,-2.22,0.0,0.0,0.34
33,2000-12-04,-0.44,-0.44,-0.44,-0.45,1606.0,4655000.0,-2.22,2.22,0.01,0.4
34,2000-12-05,-0.44,-0.44,-0.44,-0.45,1822.0,5302000.0,-2.27,0.0,0.0,0.46
35,2000-12-06,-0.44,-0.45,-0.44,-0.45,2451.0,7112000.0,-2.27,-2.27,-0.01,0.61
36,2000-12-07,-0.45,-0.45,-0.44,-0.45,2253.0,6524000.0,-2.22,0.0,0.0,0.56
37,2000-12-08,-0.45,-0.45,-0.44,-0.45,2540.0,7376000.0,-2.22,0.0,0.0,0.64
38,2000-12-11,-0.45,-0.46,-0.45,-0.46,5569.0,15902000.0,-2.22,-2.22,-0.01,1.39
39,2000-12-12,-0.46,-0.45,-0.45,-0.46,1719.0,4892000.0,-2.17,2.17,0.01,0.43
40,2000-12-13,-0.45,-0.46,-0.45,-0.46,1228.0,3519000.0,-2.22,-2.22,-0.01,0.31
41,2000-12-14,-0.46,-0.45,-0.45,-0.46,2057.0,5911000.0,-2.17,2.17,0.01,0.51
42,2000-12-15,-0.45,-0.45,-0.45,-0.45,1097.0,3146000.0,0.0,0.0,0.0,0.27
43,2000-12-18,-0.45,-0.45,-0.44,-0.45,5020.0,14530000.0,-2.22,0.0,0.0,1.26
44,2000-12-19,-0.44,-0.45,-0.44,-0.45,1928.0,5587000.0,-2.22,0.0,0.0,0.48
45,2000-12-20,-0.45,-0.44,-0.44,-0.45,3682.0,10748000.0,-2.22,2.22,0.01,0.92
46,2000-12-21,-0.44,-0.44,-0.43,-0.44,2577.0,7602000.0,-2.27,0.0,0.0,0.64
47,2000-12-22,-0.44,-0.44,-0.43,-0.45,5564.0,16210000.0,-4.55,0.0,0.0,1.39
48,2000-12-25,-0.44,-0.45,-0.44,-0.45,5857.0,16996000.0,-2.27,-2.27,-0.01,1.46
49,2000-12-26,-0.45,-0.44,-0.43,-0.45,3995.0,11695000.0,-4.44,2.22,0.01,1.0
50,2000-12-27,-0.44,-0.44,-0.43,-0.44,3420.0,10041267.0,-2.27,0.0,0.0,0.86
51,2000-12-28,-0.47,-0.43,-0.43,-0.47,6798.0,19400000.0,-9.09,2.27,0.01,1.7
52,2000-12-29,-0.43,-0.42,-0.42,-0.44,7461.0,22371000.0,-4.65,2.33,0.01,1.87
53,2001-01-02,-0.42,-0.4,-0.4,-0.42,10014.0,30824000.0,-4.76,4.76,0.02,2.5
54,2001-01-03,-0.4,-0.41,-0.39,-0.41,7587.0,23498000.0,-5.0,-2.5,-0.01,1.9
55,2001-01-04,-0.4,-0.41,-0.4,-0.41,4256.0,13188000.0,-2.44,0.0,0.0,1.06
